[2026-01-18 23:22:21] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:22] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:23] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:25] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:22:56] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:22:57] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:58] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:22:59] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:01] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:23:32] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:23:33] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:34] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:36] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:23:37] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:24:07] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:24:08] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:09] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:10] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:12] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:24:43] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:24:44] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:45] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:46] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:24:48] ALERT: Anomaly detected | Reasons: Root access
